internship_title,internship_company,required_skills,internship_location,required_education
QA Engineer,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED,"DevOps, Machine Learning",Hyderabad,M.Sc
Safety Officer,JINDAL STEEL & POWER LIMITED,"Exploration, Mineral Processing, Surveying",Ahmedabad,BA
Structural Engineer,PATAKA INDUSTRIES PRIVATE LIMITED,"Estimation, Project Management",Lucknow,BA
IT Support,SOBHA LIMITED,"Cloud Computing, Cybersecurity",Bangalore,B.Com
Site Engineer,WONDER CEMENT LIMITED,"Civil Engineering, Structural Design",Ahmedabad,B.Sc
Consumer Insights Analyst,ALEMBIC PHARMACEUTICALS LIMITED,"Distribution, Sales",Hyderabad,B.Sc
Structural Engineer,B. G. SHIRKE CONSTRUCTION TECHNOLOGY PRIVATE LIMITED,"Civil Engineering, Safety Management",Bangalore,BBA
Software Developer,SUPER CASSETTES INDUSTRIES PRIVATE LIMITED,"Data Analysis, Cloud Computing, Java",Delhi,M.Sc
Retail Manager,ITC LIMITED,"Marketing, Sales, Brand Management",Bangalore,MBA
Marketing Executive,SUVEN PHARMACEUTICALS LIMITED,"Product Development, Consumer Insights, Distribution, Marketing",Chennai,B.Sc
Surveyor,BIOP STEELS & POWER PRIVATE LIMITED,"Geology, Surveying",Jaipur,BA
Distribution Executive,PI INDUSTRIES LIMITED,"Marketing, Brand Management, Sales",Jaipur,MBA
DevOps Engineer,DELOITTE CONSULTING INDIA PRIVATE LIMITED,"Java, Python, JavaScript, Machine Learning",Mumbai,B.Com
Supply Chain Analyst,EMCURE PHARMACEUTICALS LIMITED,"Retail Management, Marketing, Product Development",Pune,B.Sc
Project Engineer,J. K. CEMENT LIMITED,"Safety Management, Surveying",Ahmedabad,BBA
Machine Learning Engineer,POWER FINANCE CORPORATION LIMITED,"Machine Learning, Data Analysis",Bangalore,M.Sc
Data Analyst,SKODA AUTO VOLKSWAGEN INDIA PRIVATE LIMITED,"Data Analysis, Cloud Computing, Machine Learning, React",Chennai,PhD
Relationship Manager,IDFC FIRST BANK LIMITED,"Loan Processing, Taxation, Auditing",Kolkata,Diploma
RF Engineer,RELIANCE JIO INFOCOMM LIMITED,"RF Engineering, Network Engineering, Optical Fiber, Data Transmission",Jaipur,BBA
Credit Analyst,SHRIRAM GENERAL INSURANCE COMPANY LIMITED,"Wealth Management, Financial Modeling, Investment Banking",Jaipur,M.Sc
Civil Engineer,AARTI INDUSTRIES LTD,"Civil Engineering, Surveying, Project Management, Construction Management",Delhi,BCA
DevOps Engineer,ZEROIDA BROKING LIMITED,"DevOps, Cloud Computing",Remote,M.Sc
Product Manager,MICRO LABS LIMITED,"Retail Management, Supply Chain",Mumbai,BBA
Civil Engineer,WONDER CEMENT LIMITED,"Project Management, Quality Control, Safety Management",Mumbai,MBA
Testing Engineer,HINDUSTAN AERONAUTICS LIMITED,"Testing, Circuit Design, PCB Design",Kolkata,BCA
Web Developer,LTIMINDTREE LIMITED,"JavaScript, SQL, Cloud Computing, Java",Chennai,BA
Distribution Executive,MONDELEZ INDIA FOODS PRIVATE LIMITED,"Brand Management, Consumer Insights, Supply Chain, Product Development",Ahmedabad,Diploma
Brand Manager,PFIZER LIMITED,"Distribution, Sales, Product Development",Chennai,PhD
Software Developer,SMFG INDIA CREDIT COMPANY LIMITED,"Cybersecurity, React, SQL, Data Analysis",Bangalore,MBA
Surveyor,GUJARAT FLUOROCHEMICALS LIMITED,"Project Management, Quality Control",Bangalore,B.Sc
Web Developer,ATRIA CONVERGENCE TECHNOLOGIES LIMITED,"Cybersecurity, SQL",Delhi,B.Sc
IT Support,COGNIZANT TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED,"Machine Learning, DevOps",Pune,B.Sc
Safety Officer,WESTERN COALFIELDS LIMITED,"Surveying, Ore Processing",Chennai,M.Sc
Ore Processing Technician,MAHANADI COALFIELDS LIMITED,"Exploration, Mineral Processing, Geology",Chennai,Diploma
Environmental Officer,THRIVENI EARTHMOVERS PRIVATE LIMITED,"Surveying, Ore Processing, Environmental Compliance, Mineral Processing",Lucknow,BA
Cloud Architect,CAPGEMINI TECHNOLOGY SERVICES INDIA LIMITED,"React, Java, Python, Cloud Computing",Mumbai,B.Com
Renewable Energy Specialist,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,"Renewable Energy, Energy Efficiency, Electrical Engineering, Power Plant Operations",Hyderabad,BBA
Web Developer,DXC TECHNOLOGY INDIA PRIVATE LIMITED,"Python, Cybersecurity, Java, DevOps",Jaipur,Diploma
QA Engineer,CUMMINS TECHNOLOGIES INDIA PRIVATE LIMITED,"Cloud Computing, JavaScript, Data Analysis",Remote,PhD
Data Analyst,NATIONAL STOCK EXCHANGE OF INDIA LTD.,"DevOps, Cloud Computing, Java",Pune,MBA
Data Analyst,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS PRIVATE LIMITED,"Java, React",Jaipur,BA
IT Support,ACCENTURE SOLUTIONS PRIVATE LIMITED,"Data Analysis, Java",Pune,BA
Quality Inspector,AARTI INDUSTRIES LTD,"Structural Design, Project Management, Estimation",Mumbai,BCA
Credit Analyst,THE FEDERAL BANK LTD,"Investment Banking, Financial Modeling",Mumbai,BBA
Distribution Executive,SUN PHARMA LABORATORIES LIMITED,"Supply Chain, Consumer Insights, Brand Management, Distribution",Bangalore,M.Sc
Safety Officer,RASHMI CEMENT LIMITED,"Civil Engineering, Safety Management",Delhi,BBA
Structural Engineer,BHANSALI ENGINEERING POLYMERS LIMITED,"Estimation, Quality Control, Project Management, Surveying",Hyderabad,B.Com
Product Manager,ALKEM LABORATORIES LIMITED,"Brand Management, Sales",Delhi,B.Com
Retail Manager,BRITANNIA INDUSTRIES LTD,"Marketing, Brand Management, Retail Management, Product Development",Mumbai,B.Tech
Product Manager,SUN PHARMA LABORATORIES LIMITED,"Marketing, Supply Chain, Brand Management",Jaipur,M.Sc
IT Support,INDIAN RAILWAY FINANCE CORPORATION LIMITED,"Python, Java, React, Cloud Computing",Jaipur,BA
Retail Manager,EMCURE PHARMACEUTICALS LIMITED,"Product Development, Brand Management, Sales, Supply Chain",Mumbai,PhD
Safety Officer,WELSPUN LIVING LIMITED,"Construction Management, Quality Control, Civil Engineering",Mumbai,M.Sc
Structural Engineer,GHARDA CHEMICALS LIMITED,"Civil Engineering, Safety Management, Project Management, Construction Management",Mumbai,PhD
Marketing Executive,SUVEN PHARMACEUTICALS LIMITED,"Product Development, Consumer Insights, Distribution, Marketing",Chennai,B.Sc
Safety Officer,THE RAMCO CEMENTS LIMITED,"Project Management, Quality Control, Construction Management",Mumbai,BCA
Web Developer,PNB HOUSING FINANCE LIMITED,"Machine Learning, Java, React",Mumbai,BA
Environmental Officer,INDIAN METALS AND FERRO ALLOYS LTD.,"Geology, Safety Management",Kolkata,MBA
Ore Processing Technician,STEEL AUTHORITY OF INDIA LIMITED,"Surveying, Exploration",Lucknow,M.Sc
Machine Learning Engineer,WNS GLOBAL SERVICES PRIVATE LIMITED,"DevOps, Cloud Computing",Chennai,BA
Marketing Executive,PROCTER & GAMBLE HYGIENE AND HEALTH CARE LIMITED,"Supply Chain, Marketing, Brand Management, Sales",Hyderabad,B.Sc
Credit Analyst,EQUITAS SMALL FINANCE BANK LIMITED,"Risk Management, Auditing",Hyderabad,BA
Sales Executive,GRANULES INDIA LIMITED,"Supply Chain, Distribution, Brand Management, Product Development",Jaipur,BBA
Consumer Insights Analyst,PIRAMAL ENTERPRISES LIMITED,"Sales, Supply Chain, Brand Management, Marketing",Hyderabad,BCA
Construction Manager,DILIP BUILDCON LIMITED,"Quality Control, Construction Management",Ahmedabad,M.Sc
IT Support,ACCENTURE SOLUTIONS PRIVATE LIMITED,"Data Analysis, Java",Pune,BA
Cloud Architect,EDGEVERVE SYSTEMS LIMITED,"Cloud Computing, DevOps, Java",Jaipur,Diploma
Consumer Insights Analyst,RELIANCE RETAIL LIMITED,"Brand Management, Sales, Consumer Insights",Remote,B.Sc
Product Manager,ABBOTT INDIA LIMITED,"Product Development, Distribution, Retail Management, Marketing",Chennai,PhD
RF Engineer,BHARTI TELEMEDIA LIMITED,"5G Technology, Network Engineering, IoT",Jaipur,B.Tech
Web Developer,COCHIN SHIPYARD LIMITED,"JavaScript, Java, Cloud Computing",Bangalore,Diploma
Software Developer,HERO MOTOCORP LIMITED,"React, Cybersecurity, Java",Jaipur,BBA
Mineral Processing Engineer,NLC INDIA LIMITED,"Geology, Environmental Compliance, Mining Engineering",Delhi,BA
Relationship Manager,DCB BANK LIMITED,"Wealth Management, Financial Modeling, Auditing, Taxation",Jaipur,M.Sc
RF Engineer,ATC TELECOM INFRASTRUCTURE PRIVATE LIMITED,"Data Transmission, RF Engineering",Hyderabad,PhD
IT Support,VMWARE SOFTWARE INDIA PRIVATE LIMITED,"JavaScript, DevOps, Data Analysis, Cybersecurity",Remote,B.Sc
IT Support,ICICI SECURITIES PRIMARY DEALERSHIP LIMITED,"JavaScript, SQL",Bangalore,B.Com
Relationship Manager,SBI LIFE INSURANCE COMPANY LIMITED,"Wealth Management, Accounting, Investment Banking, Auditing",Mumbai,BCA
IT Support,MPHASIS LIMITED,"DevOps, Python, SQL",Hyderabad,M.Sc
IT Support,WIPRO LIMITED,"React, Python, JavaScript",Mumbai,Diploma
Grid Engineer,NTPC LIMITED,"Power Plant Operations, Energy Efficiency, Grid Management",Lucknow,BA
Supply Chain Analyst,IPCA LABORATORIES LIMITED,"Distribution, Brand Management, Product Development",Hyderabad,BBA
Mineral Processing Engineer,KIOCL LIMITED,"Ore Processing, Environmental Compliance, Exploration, Surveying",Chennai,B.Sc
Marketing Executive,HERBALIFE INTERNATIONAL INDIA PRIVATE LIMITED,"Distribution, Brand Management, Product Development",Jaipur,BCA
Brand Manager,PFIZER LIMITED,"Distribution, Sales, Product Development",Chennai,PhD
QA Engineer,BARCLAYS GLOBAL SERVICE CENTRE PRIVATE LIMITED,"React, DevOps, Cybersecurity",Chennai,B.Com
Risk Analyst,TAMILNAD MERCANTILE BANK LIMITED,"Financial Modeling, Taxation",Pune,MBA
Surveyor,ASHOKA BUILDCON LIMITED,"Safety Management, Surveying",Mumbai,B.Com
Sales Executive,EMAMI LIMITED,"Brand Management, Sales, Marketing, Retail Management",Remote,MBA
Web Developer,INFOSYS LIMITED,"Java, Data Analysis, React",Delhi,BCA
Cloud Architect,VENCO RESEARCH AND BREEDING FARM PRIVATE LIMITED,"DevOps, Python, React",Pune,BCA
Consumer Insights Analyst,MANKIND PHARMA LIMITED,"Consumer Insights, Marketing",Kolkata,BCA
Data Analyst,INFO EDGE (INDIA) LIMITED,"Data Analysis, DevOps, Cybersecurity",Chennai,Diploma
Software Developer,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,"Cybersecurity, SQL, Machine Learning, DevOps",Pune,BA
Software Developer,ADITYA BIRLA SUN LIFE AMC LIMITED,"React, Python, Java",Lucknow,B.Sc
IT Support,BAJAJ HOLDINGS & INVESTMENT LIMITED.,"Machine Learning, SQL, Python",Jaipur,B.Com
Project Engineer,PIDILITE INDUSTRIES LIMITED,"Civil Engineering, Safety Management",Lucknow,BCA
Surveyor,ODISHA MINING CORPORATION LIMITED,"Mineral Processing, Mining Engineering, Geology",Kolkata,B.Com
Machine Learning Engineer,CUMMINS INDIA LIMITED,"Java, DevOps",Pune,BCA
Geologist,INOX AIR PRODUCTS PRIVATE LIMITED,"Refining, Reservoir Engineering",Ahmedabad,M.Sc
Surveyor,BIRLA CARBON INDIA PRIVATE LIMITED,"Estimation, Safety Management",Mumbai,PhD
Web Developer,BAJAJ FINANCE LIMITED,"DevOps, Machine Learning",Remote,M.Sc
Site Engineer,GUJARAT ALKALIES AND CHEMICALS LIMITED,"Construction Management, Civil Engineering, Surveying",Lucknow,PhD
Environmental Officer,EASTERN COALFIELDS LTD,"Ore Processing, Environmental Compliance, Mineral Processing",Bangalore,B.Sc
Machine Learning Engineer,SOCIETE GENERALE SECURITIES INDIA PRIVATE LIMITED,"Cybersecurity, Python",Kolkata,M.Sc
Retail Manager,LUPIN LIMITED,"Consumer Insights, Brand Management, Retail Management, Product Development",Chennai,BA
Ore Processing Technician,MAHANADI COALFIELDS LIMITED,"Exploration, Mineral Processing, Geology",Chennai,Diploma
Supply Chain Analyst,EMCURE PHARMACEUTICALS LIMITED,"Retail Management, Marketing, Product Development",Pune,B.Sc
Safety Officer,WELSPUN LIVING LIMITED,"Construction Management, Quality Control, Civil Engineering",Mumbai,M.Sc
QA Engineer,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,"DevOps, SQL",Delhi,B.Tech
Software Developer,PNB HOUSING FINANCE LIMITED,"SQL, React",Jaipur,BBA
Product Manager,ALKEM LABORATORIES LIMITED,"Brand Management, Sales",Delhi,B.Com
Brand Manager,GLENMARK PHARMACEUTICALS LIMITED,"Brand Management, Marketing, Product Development, Distribution",Kolkata,BA
Geologist,NAYARA ENERGY LIMITED,"Geology, Reservoir Engineering, Refining, Petroleum Engineering",Hyderabad,Diploma
Mineral Processing Engineer,CENTRAL COALFIELDS LIMITED,"Mining Engineering, Geology",Remote,Diploma
Retail Manager,EMAMI LIMITED,"Brand Management, Marketing",Bangalore,MBA
DevOps Engineer,INFOSYS BPM LIMITED,"SQL, Cloud Computing, Java, JavaScript",Mumbai,M.Sc
Brand Manager,GLENMARK PHARMACEUTICALS LIMITED,"Brand Management, Marketing, Product Development, Distribution",Kolkata,BA
Construction Manager,SAINT-GOBAIN INDIA PRIVATE LIMITED,"Quality Control, Safety Management",Chennai,MBA
Software Developer,L&T TECHNOLOGY SERVICES LIMITED,"Data Analysis, Machine Learning",Hyderabad,M.Sc
Grid Engineer,SHYAM SEL AND POWER LIMITED,"Renewable Energy, Thermal Power, Electrical Engineering, Maintenance",Hyderabad,M.Sc
Brand Manager,SHARDA CROPCHEM LIMITED,"Sales, Retail Management, Marketing, Supply Chain",Delhi,Diploma
Telecom Technician,INDUS TOWERS LIMITED,"IoT, Network Engineering, RF Engineering",Ahmedabad,PhD
Marketing Executive,DR.REDDY S LABORATORIES LTD,"Supply Chain, Marketing",Jaipur,PhD
IT Support,MUSIGMA BUSINESS SOLUTIONS PRIVATE LIMITED,"SQL, DevOps",Remote,M.Sc
Product Manager,SUN PHARMA LABORATORIES LIMITED,"Marketing, Supply Chain, Brand Management",Jaipur,M.Sc
IT Support,TATA CAPITAL HOUSING FINANCE LIMITED,"Cloud Computing, JavaScript",Hyderabad,BA
Consumer Insights Analyst,NIRMA LIMITED,"Brand Management, Product Development, Marketing",Hyderabad,BBA
Network Engineer,ERICSSON INDIA PRIVATE LIMITED,"IoT, Telecom Infrastructure, Optical Fiber, Data Transmission",Hyderabad,Diploma
Mineral Processing Engineer,AIA ENGINEERING LIMITED,"Mineral Processing, Exploration",Ahmedabad,M.Sc
DevOps Engineer,SKF INDIA LIMITED,"DevOps, SQL",Lucknow,B.Com
Sales Executive,DR.REDDY S LABORATORIES LTD,"Product Development, Consumer Insights, Distribution, Supply Chain",Lucknow,B.Sc
Freight Coordinator,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,"Distribution, Inventory Management, Warehouse Operations",Hyderabad,M.Sc
Safety Officer,OIL INDIA LIMITED,"Pipeline Maintenance, Reservoir Engineering, Field Operations",Chennai,MBA
Data Analyst,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,"Python, React",Remote,BBA
Surveyor,ASHOKA BUILDCON LIMITED,"Safety Management, Surveying",Mumbai,B.Com
Geologist,HINDUSTAN ZINC LIMITED,"Geology, Exploration, Safety Management, Surveying",Delhi,B.Tech
IT Support,INTERNATIONAL TRACTORS LIMITED,"Java, DevOps, React, Cybersecurity",Kolkata,B.Com
Renewable Energy Specialist,TATA POWER DELHI DISTRIBUTION LIMITED,"Renewable Energy, Maintenance, Electrical Engineering, Grid Management",Kolkata,PhD
Machine Learning Engineer,ADITYA BIRLA FINANCE LIMITED,"Cybersecurity, DevOps, JavaScript, Cloud Computing",Mumbai,B.Tech
Mining Engineer,JINDAL SAW LIMITED,"Mining Engineering, Environmental Compliance",Delhi,B.Sc
Environmental Officer,COAL INDIA LTD GOVT OF INDIA UNDERTAKING,"Ore Processing, Geology, Safety Management, Exploration",Ahmedabad,BBA
Thermal Engineer,ARAVALI POWER COMPANY PRIVATE LIMITED,"Energy Efficiency, Thermal Power, Grid Management",Jaipur,BCA
Cloud Architect,SUN TV NETWORK LIMITED,"Python, JavaScript, Cloud Computing",Lucknow,BA
Software Developer,HERO MOTOCORP LIMITED,"React, Cybersecurity, Java",Jaipur,BBA
Marketing Executive,GODREJ CONSUMER PRODUCTS LIMITED,"Distribution, Product Development, Sales, Marketing",Bangalore,BA
Product Manager,ADANI WILMAR LIMITED,"Supply Chain, Marketing, Distribution, Brand Management",Kolkata,B.Tech
IT Support,EIT SERVICES INDIA PRIVATE LIMITED,"Cybersecurity, SQL, React, Data Analysis",Jaipur,BBA
IT Support,INFOSYS LIMITED,"SQL, DevOps, Cloud Computing, Cybersecurity",Ahmedabad,B.Com
DevOps Engineer,NATIONAL PAYMENTS CORPORATION OF INDIA,"JavaScript, DevOps, Data Analysis",Bangalore,PhD
Machine Learning Engineer,ADITYA BIRLA FINANCE LIMITED,"Cybersecurity, DevOps, JavaScript, Cloud Computing",Mumbai,B.Tech
Surveyor,GUJARAT FLUOROCHEMICALS LIMITED,"Project Management, Quality Control",Bangalore,B.Sc
Software Developer,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,"Cybersecurity, SQL, Machine Learning, DevOps",Pune,BA
Risk Analyst,AU SMALL FINANCE BANK LIMITED,"Financial Analysis, Wealth Management",Bangalore,M.Sc
Consumer Insights Analyst,TITAN COMPANY LIMITED,"Supply Chain, Marketing, Sales, Brand Management",Remote,M.Sc
Sales Executive,BHARAT BIOTECH INTERNATIONAL LIMITED,"Marketing, Supply Chain, Brand Management, Distribution",Mumbai,BA
Site Engineer,BIRLA CARBON INDIA PRIVATE LIMITED,"Surveying, Estimation",Lucknow,BCA
Thermal Engineer,TRANSMISSION CORPORATION OF TELANGANA LIMITED,"Grid Management, Power Plant Operations, Thermal Power, Energy Efficiency",Bangalore,MBA
Sales Executive,PERNOD RICARD INDIA PRIVATE LIMITED,"Consumer Insights, Marketing",Kolkata,B.Com
Machine Learning Engineer,GODREJ SEEDS & GENETICS LIMITED,"React, DevOps, Machine Learning",Ahmedabad,B.Tech
QA Engineer,ATLAS COPCO (INDIA) PRIVATE LIMITED,"JavaScript, Cloud Computing, Machine Learning, Cybersecurity",Jaipur,B.Com
Consumer Insights Analyst,USV PRIVATE LIMITED,"Supply Chain, Distribution, Product Development",Remote,B.Tech
Financial Analyst,KOTAK MAHINDRA BANK LIMITED,"Investment Banking, Financial Modeling, Accounting, Auditing",Delhi,Diploma
IT Support,SAMMAAN CAPITAL LIMITED,"React, JavaScript",Delhi,BCA
Mineral Processing Engineer,MAHANADI COALFIELDS LIMITED,"Safety Management, Mineral Processing, Environmental Compliance",Ahmedabad,BA
Structural Engineer,WONDER CEMENT LIMITED,"Quality Control, Civil Engineering, Surveying",Chennai,BCA
Sales Executive,DHARAMPAL SATYAPAL LIMITED,"Sales, Brand Management, Marketing",Lucknow,B.Com
Mining Engineer,MOIL LIMITED,"Exploration, Mining Engineering",Mumbai,PhD
Web Developer,TOYOTA KIRLOSKAR MOTOR PRIVATE LIMITED,"Data Analysis, React, JavaScript",Hyderabad,BCA
Site Engineer,RAIL VIKAS NIGAM LIMITED,"Structural Design, Surveying, Construction Management, Safety Management",Pune,Diploma
Financial Analyst,BAJAJ ALLIANZ GENERAL INSURANCE COMPANY LIMITED,"Financial Modeling, Wealth Management, Investment Banking",Pune,BBA
Construction Manager,YARROW INFRASTRUCTURE PRIVATE LIMITED,"Structural Design, Civil Engineering",Remote,PhD
Retail Manager,GILLETTE INDIA LIMITED,"Consumer Insights, Distribution, Marketing, Retail Management",Chennai,BCA
Web Developer,DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED,"Machine Learning, JavaScript, SQL",Pune,BBA
Brand Manager,SUN PHARMACEUTICAL INDUSTRIES LIMITED,"Brand Management, Consumer Insights, Product Development",Lucknow,M.Sc
Cloud Architect,ASIAN PAINTS LIMITED,"Machine Learning, Python, JavaScript",Hyderabad,B.Sc
DevOps Engineer,BRAKES INDIA PRIVATE LIMITED,"React, SQL, DevOps",Pune,B.Com
Mineral Processing Engineer,MAHANADI COALFIELDS LIMITED,"Geology, Safety Management, Mining Engineering, Ore Processing",Kolkata,B.Sc
IT Support,ACCENTURE SOLUTIONS PRIVATE LIMITED,"Data Analysis, Java",Pune,BA
Product Manager,PATANJALI FOODS LIMITED,"Supply Chain, Marketing, Retail Management",Chennai,BBA
Marketing Executive,DR.REDDY S LABORATORIES LTD,"Supply Chain, Marketing",Jaipur,PhD
QA Engineer,WIPRO ENTERPRISES PRIVATE LIMITED,"Machine Learning, Data Analysis",Remote,B.Sc
Geologist,JSW STEEL COATED PRODUCTS LIMITED,"Surveying, Mineral Processing, Ore Processing",Pune,BA
Software Developer,TRANSUNION CIBIL LIMITED,"Python, Data Analysis, Cloud Computing",Ahmedabad,M.Sc
Web Developer,INTERNATIONAL TRACTORS LIMITED,"DevOps, React, SQL, Data Analysis",Chennai,BA
Machine Learning Engineer,GODREJ SEEDS & GENETICS LIMITED,"React, DevOps, Machine Learning",Ahmedabad,B.Tech
Ore Processing Technician,VEDANTA LIMITED,"Exploration, Environmental Compliance, Mining Engineering",Delhi,PhD
Transportation Specialist,CONTAINER CORPORATION OF INDIA LIMITED,"Procurement, Warehouse Operations, Freight Management",Mumbai,BCA
Mining Engineer,HINDUSTAN ZINC LIMITED,"Mining Engineering, Surveying",Chennai,BBA
Project Engineer,NTPC-SAIL POWER COMPANY LIMITED,"Maintenance, Power Plant Operations, Grid Management, Energy Efficiency",Remote,B.Tech
Geologist,NAYARA ENERGY LIMITED,"Geology, Reservoir Engineering, Refining, Petroleum Engineering",Hyderabad,Diploma
Safety Officer,BRAHMAPUTRA CRACKER AND POLYMER LIMITED,"Structural Design, Surveying",Lucknow,PhD
Credit Analyst,TATA AIG GENERAL INSURANCE COMPANY LIMITED,"Taxation, Financial Analysis, Investment Banking, Loan Processing",Remote,Diploma
